snapshot_date,ticker,total_notional,total_volume,print_count,large_print_count,buy_volume,sell_volume,bias,largest_print_notional,marketcap,sector
2026-04-20,NSC,10561250.0,35000,1,1,0,0,0.0,10561250.0,0.0,—
2026-04-20,UNP,8747550.0,35000,1,1,35000,0,1.0,8747550.0,0.0,—
2026-04-20,NVDA,3967308.84,19774,15,0,1500,2789,0.0759,980126.89,0.0,—
2026-04-20,GE,2893657.5,9990,10,0,3050,440,0.3053,724250.0,301467077367.0,Industrials
2026-04-20,QQQ,2667068.05,4124,6,0,0,200,0.0,776065.2,0.0,—
2026-04-20,FTRE,2399236.4,229592,1,1,229592,0,1.0,2399236.4,0.0,—
2026-04-20,LITE,1932002.1,2263,5,1,1683,0,0.7437,1335358.84,0.0,—
2026-04-20,MU,1845954.77,4081,11,0,280,300,0.0686,452220.0,0.0,—
2026-04-20,TSLA,1604644.95,4125,7,0,0,0,0.0,388950.1,0.0,—
2026-04-20,AAPL,1221733.33,4557,5,0,0,1400,0.0,528941.57,0.0,—
2026-04-20,SCHG,1167443.77,35949,5,0,0,0,0.0,402690.0,0.0,—
2026-04-20,CRWD,1135041.15,2517,1,1,2517,0,1.0,1135041.15,0.0,—
2026-04-20,PBF,984733.72,24255,2,0,0,0,0.0,828240.0,0.0,—
2026-04-20,AMZN,863585.15,3434,4,0,0,500,0.0,251490.1,0.0,—
2026-04-20,SPY,846647.41,1198,5,0,200,438,0.1669,254424.17,0.0,—
2026-04-20,CLOZ,757941.54,29118,1,0,0,0,0.0,757941.54,0.0,—
2026-04-20,NFLX,727170.8,7836,3,0,4476,1360,0.5712,415372.8,0.0,—
2026-04-20,MSFT,723812.46,1695,3,0,0,0,0.0,412962.18,0.0,—
2026-04-20,UNH,662501.5,1900,4,0,0,0,0.0,348685.0,316552039619.0,Healthcare
2026-04-20,CAR,636174.0,900,1,0,0,0,0.0,636174.0,24983046754.0,Industrials
2026-04-20,TQQQ,613339.4,10565,3,0,5165,2500,0.4889,299879.9,0.0,—
2026-04-20,DHI,539339.0,3300,3,0,0,800,0.0,245175.0,0.0,—
2026-04-20,VLO,521435.88,2241,1,0,0,0,0.0,521435.88,0.0,—
2026-04-20,QID,519675.79,28791,3,0,11200,0,0.389,202160.0,0.0,—
2026-04-20,MRVL,504170.43,3318,2,0,0,0,0.0,277156.98,0.0,—
2026-04-20,AVGO,477363.8,1187,1,0,0,0,0.0,477363.8,0.0,—
2026-04-20,SNDK,476147.6,520,3,0,0,0,0.0,192292.8,0.0,—
2026-04-20,GOOG,438466.8,1322,2,0,0,0,0.0,265329.84,0.0,—
2026-04-20,JEPI,437738.33,7606,2,0,5000,0,0.6574,287750.0,0.0,—
2026-04-20,MSTR,419720.0,2500,2,0,0,1500,0.0,251790.0,0.0,—
2026-04-20,FRMM,408000.0,100000,1,0,100000,0,1.0,408000.0,0.0,—
2026-04-20,WDC,388016.0,1000,2,0,0,0,0.0,232818.0,0.0,—
2026-04-20,BND,367430.11,4973,3,0,0,0,0.0,130998.11,0.0,—
2026-04-20,MMM,357600.0,2400,3,0,0,0,0.0,134100.0,78480933500.0,Industrials
2026-04-20,CRDO,348317.69,1900,1,0,0,0,0.0,348317.69,0.0,—
2026-04-20,BAC,337239.0,6300,1,0,0,6300,0.0,337239.0,0.0,—
2026-04-20,PG,327783.0,2300,2,0,0,1300,0.0,185263.0,0.0,—
2026-04-20,CDNA,317100.0,15100,1,0,0,15100,0.0,317100.0,0.0,—
2026-04-20,MINT,301710.0,3000,1,0,3000,0,1.0,301710.0,0.0,—
