as_of,ticker,direction,conviction_grade,conviction_score,sector,bullish_premium_share,unusual_premium_share,vrp_proxy,far_otm_call_share,far_otm_put_share,dollar_delta_weighted_flow,sector_relative_pct,prem_momentum_z3d,realized_vol_regime,aggressor_bull_share,aggressor_net_prem_bps,ask_side_ratio,directional_sweep_share,gex_total,vanna_total,charm_total,iv_skew_25d,atm_iv_30d,atm_iv_60d,atm_iv_90d,term_slope_30_90,expiry_concentration_top1,max_pain_dist_pct,dealer_net_delta_at_spot,dealer_net_gamma_at_spot,perc_3_day_total_latest,momentum_composite,momentum_score,ret_5d,ret_21d,ret_63d,ret_126d,dist_52w_high,px_vs_sma50,px_vs_sma200,rsi_14,bollinger_z,rel_volume,atr_pct,gap_pct,beta_63d,resid_mom_21d,rel_strength_spy_63d,rel_strength_sector_63d,rel_vol_3d_20d,rel_vol_5d_20d,vol_trend_10d,up_down_vol_ratio_10d,setup_price_score,setup_trend,setup_extension,setup_room,setup_pattern_pts,setup_momentum,setup_confirm_vol,setup_extended,setup_ext_cap_atr,setup_state_rank,setup_is_breakout,setup_is_pullback,setup_is_trend_cont,setup_is_reversal,setup_pattern,setup_family
2026-05-07,QCOM,BULLISH,A-,7.4,Technology,,,0.0,1.0,0.0,44266.99999999999,-0.2329162185941929,0.880872,1.2481461675211085,0.43388019,-0.07084102,0.4149772,-0.27479451,,,,,,,,,,0.33168482256232035,,,,0.269085,26.9085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,AKAM,BEARISH,A-,7.0,Technology,,,-42.5,0.24452282414953308,0.0460181834897562,141084.85066478312,-0.32163456838400617,6.775487,1.0298196168879696,0.3974306,-0.28449098,0.7469548,0.10513256,,,,,,,,,,0.003930915494210413,,,,0.593823,59.3823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,PENG,BULLISH,A-,7.0,Technology,,,-20.599999999999994,0.8484156541753917,0.046120224004305564,40967.39067614054,0.12806725975168642,-0.709676,1.058726396379055,,,,,,,,,,,,,,0.6033544877606527,,,,0.442735,44.2735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,MDB,BULLISH,B+,6.7,Technology,,,51.3245283018868,1.0,0.0,90141.09999999998,0.010509336200997157,-1.901229,1.288452653120109,0.77659118,0.55422906,0.21626947,0.34596526,,,,,,,,,,0.08347194405784303,,,,0.532508,53.2508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,FROG,BULLISH,B+,6.5,Technology,,,26.40566037735849,0.06900947519846018,0.3532578710153654,76515.57391863663,-0.4998044774660278,5.454829,0.9769850434877431,0.43988923,-0.01276402,0.76157232,-0.11580404,,,,,,,,,,0.5251315020455873,,,,0.476088,47.6088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,NVTS,BULLISH,B+,6.5,,,,-49.72641509433963,0.5669000384515082,0.10011170277236454,1279847.9938970576,,0.957521,0.8635319442457495,,,,,,,,,,,,,,0.6006845407872219,,,,0.699145,69.9145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,CELH,BULLISH,B+,6.2,Consumer Defensive,,,42.052830188679245,0.43413622563859283,0.08302616008040466,1908351.911630487,,1.215276,0.9237178490504595,0.69132681,2.12659314,0.75651947,0.01898949,,,,,,,,,,-0.12748045700541197,,,,0.751648,75.1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,CRWV,BEARISH,B+,6.2,Technology,,,-23.79622641509434,0.25014251677312793,0.20553725765809516,3624653.915854546,0.0,-2.229492,1.0793347099804211,1.0,0.09650764,1.0,0.0,,,,,,,,,,0.11816578483245155,,,,0.487655,48.7655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,KBR,BEARISH,B+,6.2,Industrials,,,-11.29245283018868,0.0,0.0,-12663.051616562654,,2.272442,1.5351922822632074,0.0,-0.07799451,0.0,0.0,,,,,,,,,,-0.1506597115679655,,,,0.614486,61.4486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,MTSI,BULLISH,B+,6.2,Technology,,,-19.932075471698113,0.0,0.0,272176.1277306249,-0.636425848078991,0.00492,1.171378963175054,0.51280706,0.3637475,0.53141502,-0.29587544,,,,,,,,,,0.4507042253521127,,,,0.48478,48.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
