as_of,ticker,direction,sector,conviction_score,conviction_grade,conviction_stack,flow_intensity,persistence_ratio,accumulation_score,sweep_share,multileg_share,accel_ratio_today,window_return_pct,cumulative_premium,prem_mcap_bps,latest_put_call_ratio,latest_iv_rank,latest_oi_change,perc_3_day_total_latest,perc_30_day_total_latest,dominant_dte_bucket,premium_source,forward_excess_return,forward_attached_at
2026-04-20,BLD,BEARISH,Industrials,7.3,A-,,3.14,1.0,63.9,0.0,0.0,0.0,-2.94,5181313.0,3.14,48.47,0.0,133.63,2.136,,,screener,,
2026-04-20,UNH,BULLISH,Healthcare,6.4,B+,,7.43,1.0,49.5,0.0,0.0,0.0,7.8,463512170.0,7.43,0.54,4.5,5.78,2.688,,31-90,screener,,
2026-04-20,GPC,BEARISH,Consumer Cyclical,6.3,B+,,1.94,1.0,57.7,0.0,0.0,0.0,1.8,4103123.0,1.94,25.05,54.1,18.23,4.066,,,screener,,
2026-04-20,CAR,BULLISH,Industrials,6.0,B+,,281.94,1.0,49.4,0.0,0.0,0.0,16.85,1391990689.0,281.94,2.0,100.0,20.67,1.889,,,screener,,
2026-04-20,URBN,BEARISH,Consumer Cyclical,5.7,B,,3.31,1.0,48.0,0.0,0.0,0.0,-1.61,3941687.0,3.31,0.82,56.1,8.24,2.173,,,screener,,
2026-04-20,STLD,BULLISH,Basic Materials,5.6,B,,1.41,1.0,49.2,0.0,0.0,0.0,7.41,7394642.0,1.41,0.55,63.5,8.07,2.331,,,screener,,
2026-04-20,DOCS,BULLISH,Healthcare,5.5,B,,4.08,1.0,60.7,0.0,0.0,0.0,-1.06,1813281.0,4.08,1.44,60.6,3.94,1.553,,,screener,,
2026-04-20,HPQ,BULLISH,Technology,5.5,B,,1.59,1.0,45.3,0.0,0.0,0.0,8.3,5575858.0,1.59,0.18,68.1,4.63,2.543,,31-90,screener,,
2026-04-20,POWI,BULLISH,Technology,5.4,B,,1.24,1.0,44.1,0.0,0.0,0.0,9.45,853276.0,1.24,0.04,36.3,257.56,1.124,,,screener,,
2026-04-20,VICR,BULLISH,Technology,5.1,B,,7.64,1.0,49.2,0.0,0.0,0.0,10.52,12694628.0,7.64,0.67,59.5,33.24,1.693,,,screener,,
2026-04-20,BB,BULLISH,Technology,5.0,B,,21.2,1.0,26.4,0.0,0.0,0.0,2.73,13033196.0,21.2,0.25,77.2,36.99,0.579,,,screener,,
2026-04-20,QXO,BEARISH,Technology,4.7,B-,,10.94,1.0,26.8,0.0,0.0,0.0,-5.37,32432130.0,10.94,0.87,65.9,37.8,1.148,,,screener,,
2026-04-20,TFIN,BEARISH,Financial Services,4.7,B-,,0.85,1.0,41.2,0.0,0.0,0.0,-0.7,265049.0,0.85,110.2,47.7,15.58,1.773,,,screener,,
2026-04-20,TSCO,BULLISH,Consumer Cyclical,4.5,B-,,1.87,1.0,43.7,0.0,0.0,0.0,-12.69,7448673.0,1.87,1.42,52.3,49.38,2.911,,,screener,,
2026-04-20,MXL,BULLISH,Technology,4.3,B-,,7.6,1.0,26.5,0.0,0.0,0.0,6.11,4106864.0,7.6,0.96,100.0,63.27,0.904,,,screener,,
2026-04-21,PBI,BULLISH,Industrials,7.4,A-,,10.78,1.0,73.2,0.0,0.0,0.0,16.31,3144157.0,10.78,0.12,58.1,2.31,2.112,,,screener,,
2026-04-21,FRMI,BULLISH,Real Estate,7.2,A-,,63.17,0.67,60.8,0.0,0.0,0.0,7.89,33267670.0,63.17,0.29,41.5,4.02,2.6,,,screener,,
2026-04-21,CAR,BEARISH,Industrials,7.0,A-,,597.38,1.0,48.7,0.0,1.0,0.0,-10.53,2261495945.0,597.38,2.12,83.4,24.82,1.388,,31-90,screener,,
2026-04-21,POET,BULLISH,Technology,6.7,B+,,243.16,0.67,54.5,0.0,0.0,0.0,24.53,68498690.0,243.16,0.22,66.7,6.27,1.95,,,screener,,
2026-04-21,BE,BULLISH,Industrials,6.6,B+,,19.96,0.67,52.4,0.0,0.0,0.0,3.65,219548815.0,19.96,0.99,67.2,4.05,1.223,,31-90,per_ticker_api,,
2026-04-21,WULF,BULLISH,Financial Services,6.6,B+,,25.22,0.67,50.8,0.0,0.0,1.0,-3.52,41318461.0,25.22,0.22,45.2,4.32,0.726,,31-90,per_ticker_api,,
2026-04-21,BLD,BEARISH,Industrials,6.5,B+,,3.14,0.67,63.9,0.0,0.0,0.0,-2.94,5181313.0,3.14,48.47,0.0,133.63,2.136,,,screener,,
2026-04-21,POWI,BULLISH,Technology,6.4,B+,,3.29,1.0,60.6,0.0,0.0,0.0,16.41,2075781.0,3.29,0.06,41.6,38.32,1.645,,,screener,,
2026-04-21,RDDT,BEARISH,Communication Services,6.2,B+,,12.77,0.67,52.0,0.0,0.0,0.0,-4.24,53972139.0,12.77,0.55,73.1,2.63,0.784,,31-90,per_ticker_api,,
2026-04-21,CRVS,BULLISH,Healthcare,5.9,B,,7.8,0.67,59.3,0.0,0.0,0.0,5.5,1768634.0,7.8,0.53,15.2,9.74,2.244,,,screener,,
2026-04-21,AMSC,BULLISH,Industrials,5.8,B,,10.26,0.67,55.8,0.0,0.0,0.0,9.97,3631272.0,10.26,0.06,37.7,14.35,1.631,,,screener,,
2026-04-21,MOGA,BEARISH,Industrials,5.8,B,,0.7,0.67,66.0,0.0,0.0,0.0,-6.47,382160.0,0.7,2.88,83.6,1.62,2.236,,,screener,,
2026-04-21,VICR,BULLISH,Technology,5.8,B,,17.85,1.0,58.5,0.0,0.0,0.0,16.31,29023820.0,17.85,0.37,67.2,15.56,1.798,,,screener,,
2026-04-21,UNH,BULLISH,Healthcare,5.6,B,,7.43,0.67,49.5,0.0,0.0,0.0,7.8,463512170.0,7.43,0.54,4.5,5.78,2.688,,31-90,screener,,
2026-04-21,GPC,BEARISH,Consumer Cyclical,5.5,B,,1.94,0.67,57.7,0.0,0.0,0.0,1.8,4103123.0,1.94,25.05,54.1,18.23,4.066,,,screener,,
